name,city,state,source,num_of_children,website,address
MGM Resorts International- Las Vegas,Las Vegas,NV,https://www.hospitalityonline.com/mgm-resorts-international-las-vegas/locations,4,mgmresorts.com,"
    
    

    Las Vegas,
      NV

  "
Kalahari Resorts & Conventions - Corporate Office,Wisconsin Dells,WI,https://www.hospitalityonline.com/kalahari-resort/locations,5,www.kalahariresorts.com,"
    1305 Kalahari Drive
    

    Wisconsin Dells,
      WI
      53965

  "
MGM Resorts International,Las Vegas,NV,https://www.hospitalityonline.com/mgm-resorts-international/locations,24,www.mgmresorts.com,"
    3799 Las Vegas Boulevard South
    

    Las Vegas,
      NV
      89109

  "
Marriott International,Bethesda,MD,https://www.hospitalityonline.com/marriott/locations,1684,www.marriott.com,"
    10400 Fernwood Rd.
    

    Bethesda,
      MD
      20817

  "
Hilton,McLean,VA,https://www.hospitalityonline.com/hilton/locations,966,www.hilton.com,"
    7930 Jones Branch Drive, Suite 1100
    

    McLean,
      VA
      22102

  "
